Index_ID,Text_Chunk
10,AltairÂ® Structural Officeâ„¢ Â© 2022 AltairÂ® HyperViewPlayerÂ® Â© 2022 Altair Packaged Solution Offerings (PSOs) AltairÂ® Automated Reporting Directorâ„¢ Â©2008-2022 AltairÂ® e-Motor Directorâ„¢ Â©2019-2022 AltairÂ® Geomechanics Directorâ„¢ Â©2011-2022 AltairÂ® Impact Simulation Directorâ„¢ Â©2010-2022 AltairÂ® Model Mesher Directorâ„¢ Â©2010-2022 AltairÂ® NVH Directorâ„¢ Â©2010-2022 AltairÂ® NVH Full Vehicleâ„¢ Â© 2022 AltairÂ® NVH Standardâ„¢ Â© 2022 AltairÂ® Squeak and Rattle Directorâ„¢ Â©2012-2022
11,Squeak and Rattle Directorâ„¢ Â©2012-2022 AltairÂ® Virtual Gauge Directorâ„¢ Â©2012-2022 AltairÂ® Weld Certification Directorâ„¢ Â©2014-2022 AltairÂ® Multi-Disciplinary Optimization Directorâ„¢ Â©2012-2022 Altair Data Analytics Products Altair Analytics Workbenchâ„¢ Â© 2002-2022 AltairÂ® Knowledge StudioÂ® Â© 1994-2022 AltairÂ® Knowledge StudioÂ® for Apache Spark Â© 1994-2022 AltairÂ® Knowledge Seekerâ„¢ Â© 1994-2022 AltairÂ® Knowledge Hubâ„¢ Â© 2017-2022 AltairÂ® MonarchÂ® Â© 1996-2022 AltairÂ®
12,AltairÂ® MonarchÂ® Â© 1996-2022 AltairÂ® Panopticonâ„¢ Â© 2004-2022 AltairÂ® SmartWorksâ„¢ Â© 2021-2022 Altair SLCâ„¢ Â©2002-2022 Altair SmartWorks Hubâ„¢ Â©2002-2022 Altair Oneâ„¢ Â©1994-2022 Third party software licenses AcuConsole contains material licensed from Intelligent Light (www.ilight.com) and used by permission.
13,"Software Security Measures: Altair Engineering Inc. and its subsidiaries and affiliates reserve the right to embed software security mechanisms in the Software for the purpose of detecting the installation and/or use of illegal copies of the Software.
The Software may collect and transmit non-proprietary data about those illegal copies."
14,"Data collected will not include any customer data created by or used in connection with the Software and will not be provided to any third party, except as may be required by law or legal process or to enforce our rights with respect to the use of any illegal copies of the Software.
By using the Software, each user consents to such detection and collection of data, as well as its transmission and use if an illegal copy of the Software is detected."
15,No steps may be taken to avoid or detect the purpose of any such security mechanisms.
16,"Technical Support Altair provides comprehensive software support via telephone and e-mail.
Telephone and E-mail When contacting Altair support, please specify the product and version number you are using along with a detailed description of the problem.
Many times, it is very beneficial for the support engineer to know what type of workstation, operating system, RAM, and graphics board you have, so please have that information ready."
17,"If you send an e-mail, please specify the workstation type, operating system, RAM, and graphics board information in the e-mail.
To contact an Altair support representative, reference the following table."
18,Location Telephone E-mail Australia +61 3 9866 5557 +61 4 1486 0829 anz-pbssupport@altair.com China +86 21 6117 1666 pbs@altair.com.cn France +33 (0)1 4133 0992 pbssupport@europe.altair.com Germany +49 (0)7031 6208 22 pbssupport@europe.altair.com India +91 80 66 29 4500 +1 800 208 9234 (Toll Free) pbs-support@india.altair.com Italy +39 800 905595 pbssupport@europe.altair.com Japan +81 3 6225 5821 pbs@altairjp.co.jp Korea +82 70 4050 9200 support@altair.co.kr Malaysia +91 80 66 29 4500 +1 800 208 9234 (Toll
19,Malaysia +91 80 66 29 4500 +1 800 208 9234 (Toll Free) pbs-support@india.altair.com North America +1 248 614 2425 pbssupport@altair.com Russia +49 7031 6208 22 pbssupport@europe.altair.com Scandinavia +46 (0) 46 460 2828 pbssupport@europe.altair.com Singapore +91 80 66 29 4500+1 800 208 9234 (Toll Free) pbs-support@india.altair.com South Africa +27 21 831 1500 pbssupport@europe.altair.com South America +55 11 3884 0414 br_support@altair.com United Kingdom +44 (0)1926 468 600 pbssupport@europe.altair.com
20,API Documentation This section will provide the Object Store API documentation.
21,"Access the Application Access the application with Altair One credentials.
Once you include the Object Store packages in the React application framework, you can login to the application with Altair One credentials.
The application will provide basic functionalities like the header, notifications, and footer information from Altair One.
Login to the application portal to check the ToDo application.
The Altair One login page is displayed to provide your credentials."
22,"Altair One Login Page Enter your Altair One credentials.
The ToDo content packs deployed to manage and monitor the tasks is displayed.
ToDo Application Click Add Todo to create a new task.
The Add Todo dialog box is displayed.
Add Todo Task Enter the task and select the category from the dropdown menu.
Click Add.
Add Todo Task The new Todo task will be added to the list.
Todo Task List Click next to the task to add a Note.
The Notes dialog box is displayed.
Notes Click Add Note."
23,"Notes Click Add Note.
A dialog box is displayed to add a note.
Add Note Enter the name and content for the note and click Add.
New Note The Note is added and it will be displayed in the dropdown menu.
You can select the note from the dropdown menu to associate it to the task.
Notes Menu Select the Show dropdown menu in the TODO LIST to view the completed or pending tasks.
Task Status"
24,"Accessing Mounted File(s) The following code is used for accessing the mounted file(s): # Get Input File Mounted Pathoutput = await Fs.info(session=session, contentRef=modelFile.getRef(), options={'path': True})# File PathfilePath = modelFile.get('path')# Or if its a Shared FilefilePath = output.get('metadata.path')if not filePath: filePath = modelFile.get('path')fileMountPath = mountPath + filePathprint(fileMountPath)"
25,Add Application and Models to Application # Add App 1dtActivateApp = await DTActivateApp.
26,"Create(session=session, name=""Activate"")status = (await dtControllerModule.addApplication(dtActivateApp)).statusprint(status)# Add model for appdtActivateApp = (await Content.getByRef(session=session, contentRef=dtActivateApp.getRef())).contentmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/Controller.scm"", dtActivateApp.data_dir, session)status = (await dtActivateApp.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status)# Add App 2dtOptistructApp = await DTOptistructApp."
27,"Create(session=session, name=""OptistructApp"")status = (await dtControllerModule.addApplication(dtOptistructApp)).statusprint(status)# Add model for appdtOptistructApp = (await Content.getByRef(session=session, contentRef=dtOptistructApp.getRef())).contentmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/plate.fem"", dtOptistructApp.data_dir, session)status = (await dtOptistructApp.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status)modules = (await"
28,"= (await dtProject.getModules()).modulesprint(modules)module = (await dtProject.getModule(name=""Controller"")).moduleprint(module)"
29,"Add Modules # Add Module 1dtBatterModule = await DTModule.
Create(session=session, name=""Battery"")status = (await dtProject.addModule(dtBatterModule)).statusprint(status)# Add Module 2dtControllerModule = await DTModule.
Create(session=session, name=""Controller"")status = (await dtProject.addModule(dtControllerModule)).statusprint( status)"
30,"Create Project # Create projectdtProject = await DTProject.
Create(session, name=""TestProject"")"
31,Edit Model Files # Edit model file in Activate appawait dtActivateApp.edit()
32,Generate Report # Generate reportawait dtActivateApp.generateReport()
33,"Get Project by Name # Get Project by namedtProject = (await DTProject.
GetProject(session, name=dtProject.name)).projectprint(dtProject.name)"
34,"Get Project # Get all ProjectsdtProjects = (await DTProject.
GetProjects(session)).projectsprint(dtProjects)"
35,Run MDE on Model Files # Run MDE on model filestatus = (await dtModel.runMDE()).statusprint(status)
36,"Upload Project Model # Upload Project ModeldtModel = (await dtProject.getModel()).modelmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/Drone.stmod"", dtModel.data_dir, session)status = (await dtModel.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status)"
37,"Add an Application The code used to add an application:# Get the Application by referenceapp = (await Content.getByRef(session=context.session, contentRef=inputs.app)).content# Relate the Application with Module.
# The addApps _ method is autogenerated by the system since the cdef has a relation created between themawait module.addApps_(app)"
38,"Add a Module Add a Module The code used to add a module:# Get the Module by referencemodule = (await Content.getByRef(session=context.session, contentRef=inputs.module)).content# Relate the Module with Project.# The addModules_ method is autogenerated by the system since the cdef has a relation created between themawait project.addModules_(module)"
39,Assign Parts to the Module The code used to assign a module:# Set the array of partnames on the module specified in the inputsmodule.parts = inputs.partNames
40,"Copying Files to Altair Drive (adcopy) The following code is used for copying the files to Altair Drive:# Get Adcopy path from ExecutionEnvironmentexecEnvData = await action.getExecEnv()onboardedApps = execEnvData.json[""installedApplications""]appConfig = await getApplicationLatestVersionConfig(onboardedApps, ""adcopy"")path = appConfig['installationPath']# Build Adcopy commandlogLocation = os.path.dirname(localPath)args = [ str(path), '-serverURL', session.serverUrl.split(""api/"")[0], '-logLocation',"
41,"'-logLocation', logLocation, '-logLevel', 'DEBUG', '-accessToken', session.bearerJwt, '-clientID', session._authHeaders[""x-client-id""], '-refreshToken', session._authHeaders[""Cookie""].split('refresh-token=')[-1], '-oc', '-f', localPath, 'remote:' + remotePath]# Run adcopy command as a processawait action.log('--DTActivateAppGenerateReportRun-- Executing Adcopy command : ' + str(args))process_env = os.environ.copy()process = subprocess."
42,"Popen(args, stdout=subprocess.
PIPE, env=process_env, shell=False, cwd=os.path.dirname(str(path)))(out, err) = process.communicate()print(process.returncode)"
43,"Create the DT Project and Set a Model by Default The DT project content outline: DT Project The code used to create the DT project and to set a model by default:from altair.dtwin import DTProject, DT3DModel# Create projectproject = DTProject(session=context.session)project.name = inputs.name# Create Model and its data directorymodel = DT3DModel(session=context.session)# Add relation from Project to Modelawait project.setModel_(model)"
44,"Editing an Application The following code is used for editing an application:appName = ""Hypermesh""# Set Command Criteria which contains the application detailscommandCriteria = Criteria(session)commandCriteria.applicationName = appNamecommandCriteria.applicationVersion = appVersioncommandCriteria.associatedContentType = modelFile.contentTypecommandCriteria.label = ""windows""# Set Template Values to fill the inputs in runtimetemplateValues = {""INPUT_FILE"": filePath}# Launch Interactive RDP Sessionawait"
45,"filePath}# Launch Interactive RDP Sessionawait RDPSession.launchApp(session=session,targetExecEnv=""Sessions"",commandCriteria=commandCriteria,templateValues=templateValues,inputFile=modelFile.getRef(),execOptions=ActionExecOptions(metadata={""queueType"": ""interactive""})) You can achieve this in the UI using View Definition file: The file will be opened in the application that is selected."
46,"Edit an Application The code for editing an application model files:# Specify the application Name to edit from appName = ""Activate""# Set Command Criteria which contains the application detailscommandCriteria = Criteria(session)commandCriteria.applicationName = appNamecommandCriteria.applicationVersion = appVersioncommandCriteria.associatedContentType = modelFile.contentTypecommandCriteria.label = ""windows""# Set Template Values to fill the inputs in runtimetemplateValues = {""INPUT_FILE"": filePath}# Launch"
47,"= {""INPUT_FILE"": filePath}# Launch Interactive RDP Sessionawait RDPSession.launchApp(session=session,targetExecEnv=""Sessions"",commandCriteria=commandCriteria,templateValues=templateValues,inputFile=modelFile.getRef(),execOptions=ActionExecOptions(metadata={""queueType"": ""interactive""}))"
48,"Invoking Digital Twin Actions DT actions can be invoked from a client via a Python/Js script or using the Web-UI client.
Get Project Get all projects.
dtProjects = (await DTProject.
GetProjects(session)).projectsprint(dtProjects) Create Project Create project.
dtProject = await DTProject.
Create(session, name=""TestProject"") Get Project by Name Get project by name.
dtProject = (await DTProject.
GetProject(session, name=dtProject.name)).projectprint(dtProject.name) Upload Project Model Upload project model."
49,"dtModel = (await dtProject.getModel()).modelmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/Drone.stmod"", dtModel.data_dir, session)status = (await dtModel.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status) Run MDE on Model File Run MDE on a model file.
status = (await dtModel.runMDE()).statusprint(status) Add Modules Add modules.
# Add Module 1dtBatterModule = await DTModule."
50,"# Add Module 1dtBatterModule = await DTModule.
Create(session=session, name=""Battery"")status = (await dtProject.addModule(dtBatterModule)).statusprint(status)# Add Module 2dtControllerModule = await DTModule.
Create(session=session, name=""Controller"")status = (await dtProject.addModule(dtControllerModule)).statusprint( status) Add Application and Models to Application Add application and models to the application.
# Add App 1dtActivateApp = await DTActivateApp."
51,"Create(session=session, name=""Activate"")status = (await dtControllerModule.addApplication(dtActivateApp)).statusprint(status)# Add model for appdtActivateApp = (await Content.getByRef(session=session, contentRef=dtActivateApp.getRef())).contentmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/Controller.scm"", dtActivateApp.data_dir, session)status = (await dtActivateApp.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status)# Add App 2dtOptistructApp = await DTOptistructApp."
52,"Create(session=session, name=""OptistructApp"")status = (await dtControllerModule.addApplication(dtOptistructApp)).statusprint(status)# Add model for appdtOptistructApp = (await Content.getByRef(session=session, contentRef=dtOptistructApp.getRef())).contentmodelFile = await uploadModel(os.path.dirname(__file__) + ""/test_data/plate.fem"", dtOptistructApp.data_dir, session)status = (await dtOptistructApp.setMainModelFile(modelFile=modelFile.getRef())).statusprint(status)modules = (await"
53,"= (await dtProject.getModules()).modulesprint(modules)module = (await dtProject.getModule(name=""Controller"")).moduleprint(module) Edit Model Files Edit model file in activate application."
54,"await dtActivateApp.edit() Generate Report Generate reports.
await dtActivateApp.generateReport()"
55,"Executing Solve The following code is used for executing the solver:memory = { ""value"": 3750, ""valueWithUnits"": ""3750 MiB"", ""normalizedValue"": 3932160000}ncpu = 2version = ""2022.2""options = ActionExecOptions(metadata={""queueType"": ""implicit""}, execEnv=""Jobs"")optistructJobAction = await (modelFile.solve(memory=memory, ncpu=ncpu, version=version, execOptions=options)) You can achieve this in the UI using View Definition file: The contents of the Job directory will have the result files once the job is"
56,will have the result files once the job is complete.
57,"Generate Report for an Application The code for generating report for an application:import amat_run_activate_report# Get Input model file pathmodelFileInfoActionOutput = await Fs.info(session=session, contentRef=modelFile.getRef(), options={'path': True})filePath = modelFileInfoActionOutput.get('metadata.path')# Get the Activate application path from execution environment docexecEnvData = await action.getExecEnv()onboardedApps = execEnvData.json[""installedApplications""]appConfig = await"
58,"= await getApplicationLatestVersionConfig(onboardedApps, ""Activate""activatePath = appConfig['installationPath']activateAppPath = os.path.dirname(activatePath) + ""/Activate_batch.bat""# Execute the report generationamat_run_activate_report.create_report_for_model(fileMountPath, reportDirPath, activateAppPath)"
59,"Getting the Application Path from Execution Environment The following code is used for getting the application path from execution environment:# Get installed Activate Path & check ""/Activate_batch.bat"" is presentexecEnvData = await action.getExecEnv()onboardedApps = execEnvData.json[""installedApplications""]appConfig = await getApplicationLatestVersionConfig(onboardedApps, ""Activate"")activatePath = appConfig['installationPath']activateAppPath = os.path.dirname(activatePath) +"
60,"= os.path.dirname(activatePath) + ""/Activate_batch.bat""print(activateAppPath)"
61,"Get the JSON Model Generated by MDE The code used to get the JSON model generated by MDE: # Get the Model file entity by its referencemodelFile = (await Content.getByRef(session=context.session, contentRef= modelFileRef)).content# Compute the expected path which is created post MDE."
62,"This is by Convention.modelJsonPath = ""/data/files/"" + modelFile.id + ""/"" + modelFile.contentType + ""/3D/model.json""# Get the Model Json file entity by pathmodelJsonFileEntity = (await Fs.info(path=modelJsonPath, session=session)).content# Download to local pathtempDir = tempfile.gettempdir()downloadPath = tempDir + ""/"" + modelJsonFileEntity.nameawait modelJsonFileEntity.download(filePath=downloadPath)# Read contents of model.jsonwith open(downloadPath, 'r') as fp:outputs.modelJson = fp.read()"
63,"Mounting and Unmounting Altair Drive The following code is used for mounting and unmounting Altair Drive: Mount Adrive# Mount AdrivedriveExecOptions = ActionExecOptions(execEnv=""current"")mountOutputs = await MountAdrive(session=session, execOptions=driveExecOptions)mountPath = mountOutputs.mountPathprint(mountPath) Unmount Adrive# Unmount Adrivefrom altair.adrivemounter import UnmountDrivedriveExecOptions = ActionExecOptions(execEnv=""current"")mountOutputs = await UnmountDrive(session=session,"
64,"= await UnmountDrive(session=session, execOptions=driveExecOptions)"
65,"Running MDE The following code is used for running MDE:from altair.mde import GeneratePreviewfrom altair.system import Fs, Contentfrom altair.system import ActionExecOptions, WaitForActionCompletion# Specific where to run the MDE i.e on which ApplianceexecOptions = ActionExecOptions(execEnvFilter={""path"": ""$.name"", ""value"": ""Sessions""})# Execute Preview Gen MDE for the given model filemdeAction = await GeneratePreview(inputFile=modelFile.getRef(), session=session, execOptions=execOptions) You can achieve"
66,execOptions=execOptions) You can achieve this in the UI using View Definition file: The result of the file metadata will be displayed.
67,"Run MDE & Generate the Model JSON The code used to run MDE and to generate the model JSON: from altair.mde import GeneratePreviewfrom altair.system import Fs, Contentfrom altair.system import ActionExecOptions, WaitForActionCompletion# Specific where to run the MDE i.e on which ApplianceexecOptions = ActionExecOptions(execEnvFilter={""path"": ""$.name"", ""value"": ""Sessions""})# Execute Preview Gen MDE for the given model filemdeAction = await GeneratePreview(inputFile=modelFile.getRef(), session=session,"
68,"session=session, execOptions=execOptions)# Wait for MDE to complete since itâ€™s a long running action.# Alternately, we can subscribe to event handler instead of waiting here."
69,"mdeActionOutput = await WaitForActionCompletion(mdeAction, timeout=300)"
70,"Upload an Application Model Files The code used to upload an application model files:# Get the Model File entitymodelDirectory = (await Fs.info(session=session, path= modelFilePath)).content# Create the File entity object with name and local file pathmodelFile= FileEntity(session)modelFile.name = “<Model File Name>”modelFile.filePath = “<Model Local File Path>”# Add the model file entity to the parent Model directorydirectory.addFile(file=modelFile)# Set the model fileRef to the Project as its main model"
71,model fileRef to the Project as its main model file application.modelFile = modelFile.getRef()
72,"Upload Project Model Files The code used to upload project model files:# Get the Model File entitymodelDirectory = (await Fs.info(session=session, path= modelFilePath)).content# Create the File entity object with name and local file pathmodelFile= FileEntity(session)modelFile.name = “<Model File Name>”modelFile.filePath = “<Model Local File Path>”# Add the model file entity to the parent Model directorydirectory.addFile(file=modelFile)# Set the model fileRef to the Project as its main model file"
73,fileRef to the Project as its main model file project.modelFile = modelFile.getRef()
74,"Object Store Examples The following sections provides the list of Object Store examples.
Uploading a Local File to ServerSet Custom Metadata on a ContentSearch for Contents by Metadata"
75,"Search for Contents by Metadata The contents created can be searched by specifying the metadata criteria.
Here is an example of an advanced search by metadata in AltairOne Web.
Following is the code snippet to programmatically search by metadata:from altair.system.
Search import Search# Search for all entities with content-type 'altair.datasheet."
76,"MotorDataSheetCSV' whose total_mass is 1234result = await Search.search(session=session, filter='system.contentType == @contentType && attributes.total_mass == 1234', bindVars={ 'contentType': ""altair.datasheet.
MotorDataSheetCSV"" })print(result.entities)# Search for all entities with content-type 'altair.datasheet."
77,"MotorDataSheetCSV' whose total_mass > 4 gramsresult = await Search.search(session=session, filter='system.contentType == @contentType && mass > @weightArg', bindVars= { 'weightArg': ""4 g"", 'contentType': ""altair.datasheet.
MotorDataSheetCSV"" }, typeHints= { ""mass"": ""UNIT_SCALAR"", ""@weightArg"": ""UNIT_SCALAR"" }, searchOptions= { 'returnCounts': True })print(result.entities)"
78,"Set Custom Metadata on a Content In this section, we will perform: Get the uploaded file from the file path Set metadata Custom metadata on the file content Set netsted metadata set UnitScalar metadata Save the session Get the metadata that is set previously Get the Uploaded File # Get the uploaded file from file pathcsv_file = (await Fs.info(path=""~/my_file.csv"", session=session)).content Set Metadata # Set some custom metadata on the file"
79,"Metadata # Set some custom metadata on the file contentcsv_file.set(""string_key"",""foobar"")csv_file.set(""integer_key"", 5678)csv_file.set(""float_key"", 12.34)# Set nested metadatacsv_file.set(""attributes.total_mass"", 1234)# Set UnitScalar metadata from altair.system import UnitScalarunitScalarType= UnitScalar(session)unitScalarType.valueWithUnits=""5 g""csv_file.set(""mass"", unitScalarType) Save the Session # Saveawait session.save() Get Metadata that is Set # Get the metadata set"
80,"Get Metadata that is Set # Get the metadata set previouslyprint(csv_file.get(""attributes.total_mass"").value) # 1234print(csv_file.get(""mass"").value) # 5print(csv_file.get(""mass"").unit) # gprint(csv_file.get(""mass"").valueWithUnits) # 5gprint(csv_file.get(""mass"").normalizedValue) # 0.005"
81,"Uploading a Local File to Server Let us say, we have a content-pack altair.datasheet with a content-definition called MotorDataSheetCSV deployed in the server.
{ ""name"": ""MotorDataSheetCSV"", ""defType"": ""content"", ""extendsFrom"": ""altair.system.
FileEntity"", ""metadata"": { ""exts"": [""csv""] }} Here, the MotorDataSheetCSV content extends from ""altair.system.
FileEntity"".
This denotes that all instances of this type are based on files in Object Store.
Following is the code snippet to upload a local file."
82,"Here we upload “.csv” file – note that the content-type is automatically set to “altair.datasheet.
MotorDataSheetCSV” since we have defined the extension in the content-definition from altair.system import Fs, FileEntity # Get the directory content by drive path."
83,"Here, ""~"" denotes the user home directory pathdirectory = (await Fs.info(session=session, path=""~"")).content# Create a FileEntity instancefile = FileEntity(session)file.filePath = ""C:/Test/my_file.csv"" # Local file path# Add the file to the given directorydirectory.addFile(file=file)# Save it in Serverawait session.save()"
84,Actions Code Snippets View the python code that is generated when you create the actions for the content definition.
85,Create The python code generated when creating a description action is as follows:# --------------------------------------------------------------------------------# stubs for action ToDoCreate generated by Altair One content definition compiler.# ToDoCreatePre [optional] precheck and setup resources required for action.# ToDoCreateRun business logic of action and set outputs.# ToDoCreatePost [optional] postchecks and free resources aquired by action.# *** DO NOT MODIFY STUB DEFINITIONS ***.#
86,action.# *** DO NOT MODIFY STUB DEFINITIONS ***.# --------------------------------------------------------------------------------#Created from PythonActionSrcTemplatefrom altair.system import ActionContextfrom altair.todo import ToDoCreateInputsfrom altair.todo import ToDoCreateOutputsfrom altair.todo.
87,"ToDo import ToDoasync def ToDoCreateRun(inputs: ToDoCreateInputs, outputs: ToDoCreateOutputs, context: ActionContext): '''Implement business logic of action and set outputs Args: inputs (ToDoCreateInputs): action inputs outputs (ToDoCreateOutputs): action outputs context (ActionContext): action context ''' # Creating the todo instance todo = ToDo(session=context.session) # Update the attributes todo.description = inputs.description todo.category = inputs.category todo.status = 'Pending' await"
88,= inputs.category todo.status = 'Pending' await context.session.save() # Emit the ToDo create event await todo.emitToDoCreatedEvent(todoRef=todo) # Assign the todo object to the output content outputs.content = todo GetAll The python code generated when creating a status action is as follows:# --------------------------------------------------------------------------------# stubs for action ToDoGetAll generated by Altair One content definition compiler.# ToDoGetAllPre [optional] precheck and setup
89,ToDoGetAllPre [optional] precheck and setup resources required for action.# ToDoGetAllRun business logic of action and set outputs.# ToDoGetAllPost [optional] postchecks and free resources aquired by action.# *** DO NOT MODIFY STUB DEFINITIONS ***.# --------------------------------------------------------------------------------#Created from PythonActionSrcTemplatefrom altair.system import ActionContextfrom altair.todo import ToDoGetAllInputsfrom altair.todo import ToDoGetAllOutputsfrom altair.system
